locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Gdańsk Orunia Górna,ul. Starogardzka,1,34,469000,13876,Bez pośredników,4 dni temu,12,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-starogardzka-1-pokoj-n2v0m6,https://s2.adresowa.pl/oi/78/42/3a856e_5fec_cover-1-pokojowe-mieszkanie-gdansk-orunia-gorna-ul-starogardzka.jpg
Gdańsk Śródmieście,ul. Górka,3,82,1100000,13415,Bez pośredników,4 dni temu,7,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-gorka-3-pokojowe-f1l0d4,https://s2.adresowa.pl/oi/2a/77/3a8530_6c96_cover-3-pokojowe-mieszkanie-gdansk-srodmiescie-ul-gorka.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/gdansk/orunia-gorna/,
Gdańsk Jasień,ul. Lawendowe Wzgórze,1,30,520000,17333,Bez pośredników,5 dni temu,8,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-lawendowe-wzgorze-1-pokoj-c3z6j5,https://s2.adresowa.pl/oi/50/42/3a8348_338d_cover-1-pokojowe-mieszkanie-gdansk-jasien-ul-lawendowe-wzgorze.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Gdańsk Siedlce,ul. Kartuska,2,45,490000,10850,Oferta biura nieruchomości,ponad tydzień temu,7,https://adresowo.pl/o/mieszkanie-gdansk-siedlce-ul-kartuska-2-pokojowe-d6g5w1,https://s2.adresowa.pl/oi/2b/57/3a7aec_e953_cover-2-pokojowe-mieszkanie-gdansk-siedlce-ul-kartuska.jpg
Gdańsk Maćkowy,ul. gen. Elżbiety Zawackiej,2,55,495000,9000,Oferta biura nieruchomości,ponad tydzień temu,5,https://adresowo.pl/o/mieszkanie-gdansk-mackowy-ul-gen-elzbiety-zawackiej-2-pokojowe-m7r9u6,https://s2.adresowa.pl/oi/6c/71/3a734e_2d9c_cover-2-pokojowe-mieszkanie-gdansk-mackowy-ul-gen-elzbiety-zawackiej.jpg
Gdańsk Suchanino,ul. Karola Kurpińskiego,4,63,795000,12679,Bez pośredników,5 dni temu,8,https://adresowo.pl/o/mieszkanie-gdansk-suchanino-ul-karola-kurpinskiego-4-pokojowe-r2r7w3,https://s2.adresowa.pl/oi/44/46/3a8350_d688_cover-4-pokojowe-mieszkanie-gdansk-suchanino-ul-karola-kurpinskiego.jpg
Gdańsk Śródmieście,ul. Stępkarska,2,38,888000,23436,Bez pośredników,5 dni temu,2,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-stepkarska-2-pokojowe-m8n2o2,https://s2.adresowa.pl/oi/16/6c/3a8288_3c2b_cover-2-pokojowe-mieszkanie-gdansk-srodmiescie-ul-stepkarska.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Gdańsk Matarnia,ul. mjr. Mieczysława Słabego,2,29,350000,12069,Bez pośredników,5 dni temu,9,https://adresowo.pl/o/mieszkanie-gdansk-matarnia-ul-mjr-mieczyslawa-slabego-2-pokojowe-j4h4a8,https://s2.adresowa.pl/oi/30/45/3a8286_a5c5_cover-2-pokojowe-mieszkanie-gdansk-matarnia-ul-mjr-mieczyslawa-slabego.jpg
Gdańsk Łostowice,ul. gen. Elżbiety Zawackiej,3,71,635000,8944,Oferta biura nieruchomości,ponad tydzień temu,5,https://adresowo.pl/o/mieszkanie-gdansk-lostowice-ul-gen-elzbiety-zawackiej-3-pokojowe-u9i7z4,https://s2.adresowa.pl/oi/7d/64/3a7320_f3ff_cover-3-pokojowe-mieszkanie-gdansk-lostowice-ul-gen-elzbiety-zawackiej.jpg
Gdańsk Orunia,ul. gen. Elżbiety Zawackiej,3,59,550000,9322,Oferta biura nieruchomości,ponad tydzień temu,5,https://adresowo.pl/o/mieszkanie-gdansk-orunia-ul-gen-elzbiety-zawackiej-3-pokojowe-b9g9l3,https://s2.adresowa.pl/oi/2f/43/3a731e_775a_cover-3-pokojowe-mieszkanie-gdansk-orunia-ul-gen-elzbiety-zawackiej.jpg
Gdańsk Jasień,ul. Lawendowe Wzgórze,2,36,535000,14706,Bez pośredników,ponad tydzień temu,14,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-lawendowe-wzgorze-2-pokojowe-x6h1p1,https://s2.adresowa.pl/oi/26/30/3a7f88_da13_cover-2-pokojowe-mieszkanie-gdansk-jasien-ul-lawendowe-wzgorze.jpg
,,,,,,Pośrednik,,,,
